Districts ,0,1,2,3,4
公共教学,(42.31;27.16;49.03;32.32);13870.08;27750;5550;5,(42.315;30.75;46.565;38.91);13872;27750;5550;5,(42.315;26.79;46.565;34.95);13872;27750;5550;5,(42.135;26.79;46.385;34.95);13872;27750;5550;5,(42.315;26.79;46.565;34.95);13872;27750;5550;5
专业教学实训,(24.995;53.1;32.565;57.78);14171.04;28338.31;5210.14;5;457.52;5,(24.995;47.685;30.045;57.775);20381.8;40747.6;7491.65;5;657.87;5,(24.995;48.395;30.045;57.785);18967.8;37917.21;6971.27;5;612.17;5,(24.995;48.395;30.045;57.785);18967.8;37917.21;6971.27;5;612.17;5,(24.995;47.685;30.045;57.775);20381.8;40747.6;7491.65;5;657.87;5
专业教学实训,(25;47.765;32.48;52.495);14152.16;28300.55;5203.2;5;456.91;5,(24.995;37.655;30.065;47.085);19124.04;38233.07;7029.34;5;617.27;5,(24.995;37.665;30.065;47.795);20543.64;41067.36;7550.44;5;663.03;5,(24.995;37.655;30.065;47.785);20543.64;41067.36;7550.44;5;663.03;5,(24.995;37.655;30.065;47.085);19124.04;38233.07;7029.34;5;617.27;5
专业教学实训,(25;26.745;31.38;39.435);32384.88;64761.14;11906.66;5;1045.57;5,(25.005;26.75;30.155;37.05);21218;42419.34;7799.01;5;684.86;5,(25.005;26.75;30.155;37.05);21218;42415.43;7798.29;5;684.8;5,(25.005;26.75;30.155;37.05);21218;42415.43;7798.29;5;684.8;5,(25.005;26.75;30.155;37.05);21218;42419.34;7799.01;5;684.86;5
院系办公,(49.635;26.75;53.005;33.49);9085.52;18150;3630;5,(42.84;26.745;49.58;30.115);9085.52;18150;3630;5,(42.84;35.545;49.58;38.915);9085.52;18150;3630;5,(42.84;35.545;49.58;38.915);9085.52;18150;3630;5,(42.84;35.545;49.58;38.915);9085.52;18150;3630;5
图书馆,(33.075;31.74;37.865;37.74);11496;23000;3900;5;700;5,(34.155;33.32;38.145;40.52);11491.2;23000;3900;5;700;5,(34.155;33.35;38.145;40.55);11491.2;23000;3900;5;700;5,(34.155;33.32;38.145;40.52);11491.2;23000;3900;5;700;5,(34.635;33.32;38.625;40.52);11491.2;23000;3900;5;700;5
室内体育用房,(53.605;32.925;60.435;38.495);15217.24;10650;5325;2,(50.18;26.765;55.24;34.275);15200.24;10650;5325;2,(49.44;26.775;54.5;34.285);15200.24;10650;5325;2,(50.18;26.765;55.24;34.275);15200.24;10650;5325;2,(50.18;26.765;55.24;34.275);15200.24;10650;5325;2
活动及会堂,(33.16;38.345;38.62;43.055);10286.64;7200;3600;2,(34.355;41.125;38.625;47.155);10299.24;7200;3600;2,(34.355;41.155;38.625;47.185);10299.24;7200;3600;2,(34.355;41.125;38.625;47.155);10299.24;7200;3600;2,(34.355;41.125;38.625;47.155);10299.24;7200;3600;2
学生宿舍,(42.36;35.33;53;47.17);50391.04;101357.93;10002.43;8;4267.7;5,(42.36;39.51;49.58;47.15);22064.32;44372.72;4378.89;8;1868.32;5,(42.36;39.51;49.58;47.15);22064.32;44365.26;4378.15;8;1868.01;5,(42.36;39.51;49.58;47.15);22064.32;44372.72;4378.89;8;1868.32;5,(42.36;39.51;49.58;47.15);22064.32;44372.72;4378.89;8;1868.32;5
学生宿舍,(42.36;47.765;47.86;57.775);22022;44295.65;4371.28;8;1865.08;5,(42.365;47.755;47.875;57.785);22106.12;44456.78;4387.18;8;1871.86;5,(49.315;47.78;54.825;57.78);22040;44316.36;4373.33;8;1865.95;5,(42.365;47.755;47.875;57.785);22106.12;44456.78;4387.18;8;1871.86;5,(42.365;47.755;47.875;57.785);22106.12;44456.78;4387.18;8;1871.86;5
学生宿舍,(53.605;39.095;60.435;47.165);22047.24;44346.42;4376.29;8;1867.22;5,(50.175;34.885;60.425;47.155);50307;101170.5;9983.93;8;4259.81;5,(50.175;34.895;60.425;47.185);50389;101318.38;9998.52;8;4266.04;5,(50.175;34.885;60.425;47.155);50307;101170.5;9983.93;8;4259.81;5,(50.175;34.885;60.425;47.155);50307;101170.5;9983.93;8;4259.81;5
单身教师宿舍,(55.095;71.03;58.845;73.03);3000;6000;750;8,(55.095;71.03;58.845;73.03);3000;6000;750;8,(56.675;71.03;60.425;73.03);3000;6000;750;8,(55.095;71.03;58.845;73.03);3000;6000;750;8,(55.095;71.03;58.845;73.03);3000;6000;750;8
