Districts ,0,1,2,3,4
公共教学,(41.86;35.875;49.14;42.165);18316.48;27750;5550;5,(42.315;30.805;48.265;38.495);18302.2;27750;5550;5,(42.03;32.74;49.03;39.28);18312;27750;5550;5,(42.03;32.59;49.03;39.13);18312;27750;5550;5,(42.03;32.74;49.03;39.28);18312;27750;5550;5
专业教学实训,(50.22;32.335;54.44;40.725);14162.32;25625.82;4711.43;5;413.73;5,(49.955;32.135;54.305;40.265);14146.2;23803.03;4376.31;5;384.3;5,(50.025;32.15;54.295;40.45);14176.4;25061.23;4607.63;5;404.61;5,(50.025;32.15;54.295;40.45);14176.4;25037.9;4603.34;5;404.24;5,(50.025;32.15;54.295;40.45);14176.4;25037.9;4603.34;5;404.24;5
专业教学实训,(50.4;26.745;60.38;31.735);19920.08;36044.11;6626.89;5;581.93;5,(49.955;26.745;59.525;31.535);18336.12;30853.18;5672.51;5;498.12;5,(50.03;26.75;59.63;31.55);18432;32584.34;5990.79;5;526.07;5,(50.03;26.75;59.63;31.55);18432;32554;5985.22;5;525.58;5,(50.03;26.75;59.63;31.55);18432;32554;5985.22;5;525.58;5
专业教学实训,(33.15;47.495;41.17;57.785);33010.32;59730.07;10981.67;5;964.34;5,(32.925;45.76;41.175;57.78);39666;66743.79;12271.18;5;1077.58;5,(33.18;46.515;41.18;57.785);36064;63754.43;11721.57;5;1029.31;5,(33.18;46.495;41.18;57.785);36128;63808.1;11731.44;5;1030.18;5,(33.18;46.495;41.18;57.785);36128;63808.1;11731.44;5;1030.18;5
院系办公,(24.945;26.755;28.855;34.405);11964.6;18150;3630;5,(24.815;26.75;30.225;32.29);11988.56;18150;3630;5,(24.995;26.75;28.865;34.49);11981.52;18150;3630;5,(24.995;27.28;28.865;35.02);11981.52;18150;3630;5,(26.275;26.75;30.145;34.49);11981.52;18150;3630;5
图书馆,(34.78;38.685;41.18;44.615);15180.8;23000;3900;5;700;5,(35.05;39.1;41.75;44.76);15168.8;23000;3900;5;700;5,(34.97;39.875;41.71;45.505);15178.48;23000;3900;5;700;5,(34.97;39.875;41.73;45.485);15169.44;23000;3900;5;700;5,(34.97;39.875;41.73;45.485);15169.44;23000;3900;5;700;5
室内体育用房,(24.955;35.375;32.345;42.165);20071.24;10650;5325;2,(24.825;32.89;30.235;42.17);20081.92;10650;5325;2,(24.995;35.62;33.005;41.88);20057.04;10650;5325;2,(24.995;35.62;33.005;41.88);20057.04;10650;5325;2,(24.995;35.62;33.005;41.88);20057.04;10650;5325;2
活动及会堂,(34.78;31.83;40.2;38.09);13571.68;7200;3600;2,(35.045;33.12;41.695;38.22);13566;7200;3600;2,(34.97;31.66;39.43;39.28);13594.08;7200;3600;2,(34.97;31.66;39.43;39.28);13594.08;7200;3600;2,(34.97;31.66;39.43;39.28);13594.08;7200;3600;2
学生宿舍,(42.315;59.785;49.565;72.895);38019;76463.49;7545.74;8;3219.52;5,(42.31;59.775;49.33;72.425);35521.2;71422.58;7048.28;8;3007.27;5,(42.315;59.775;49.425;71.505);33360.12;67091.46;6620.87;8;2824.9;5,(42.315;59.775;49.425;71.505);33360.12;67110.21;6622.72;8;2825.69;5,(42.315;59.775;49.425;71.505);33360.12;67110.21;6622.72;8;2825.69;5
学生宿舍,(50.255;50.94;60.305;57.78);27496.8;55301.33;5457.37;8;2328.48;5,(49.95;50.61;60.25;57.77);29499.2;59314.13;5853.37;8;2497.44;5,(50.06;50.22;60.42;57.78);31328.64;63005.89;6217.69;8;2652.88;5,(50.085;50.22;60.395;57.78);31177.44;62719.34;6189.41;8;2640.81;5,(50.085;50.22;60.395;57.78);31177.44;62719.34;6189.41;8;2640.81;5
