Districts ,0,1,2
0总部办公中心,(6.775;5.41;14.225;9.51);12218;30000,(6.775;5.41;14.225;9.51);12218;30000,(6.775;5.41;14.225;9.51);12218;30000
1创意工作坊,(39.27;22.815;48.35;25.845);11004.96;15000,(40.34;22.675;49.42;25.705);11004.96;15000,(40.34;22.675;49.42;25.705);11004.96;15000
2科创孵化中心,(15.31;10.72;22.95;13.72);9168;15000,(15.31;10.72;22.95;13.72);9168;15000,(15.31;10.72;22.95;13.72);9168;15000
3大中型中试厂房,(12.41;26.09;36.23;34.03);75652.32;110000,(12.41;26.09;36.23;34.03);75652.32;110000,(12.41;26.09;36.23;34.03);75652.32;110000
4小型中试厂房,(14.395;2.425;39.265;10.715);82468.92;44987.33,(14.235;2.425;39.105;10.715);82468.92;44987.33,(14.235;2.425;39.105;10.715);82468.92;44987.33
4小型中试厂房,(15.305;13.71;31.995;26.07);82515.36;45012.67,(15.305;13.73;31.995;26.09);82515.36;45012.67,(15.305;13.73;31.995;26.09);82515.36;45012.67
5特色街区,(6.775;26.09;12.405;34.03);17880.88;13000,(6.775;26.09;12.405;34.03);17880.88;13000,(6.775;26.09;12.405;34.03);17880.88;13000
6展示中心,(6.775;2.41;10.705;5.41);4716;3000,(6.775;2.41;10.705;5.41);4716;3000,(6.775;2.41;10.705;5.41);4716;3000
7产教研中心,(12.31;10.72;15.31;18.2);8976;20000,(12.31;10.72;15.31;18.2);8976;20000,(12.31;10.72;15.31;18.2);8976;20000
8转化中心,(48.35;22.84;52.93;25.84);5496;4000,(49.42;22.68;54;25.68);5496;4000,(49.42;22.68;54;25.68);5496;4000
9公寓,(36.23;25.845;52.81;31.375);36674.96;90000,(36.23;25.845;52.81;31.375);36674.96;90000,(36.23;25.845;52.81;31.375);36674.96;90000
10康养组团,(22.945;10.72;31.855;13.72);10692;35000,(22.945;10.72;31.855;13.72);10692;35000,(23.085;10.72;31.995;13.72);10692;35000
11体育馆及其配套,(6.775;9.509999;12.305;26.09);36674.96;30000,(6.775;9.509999;12.305;26.09);36674.96;30000,(6.775;9.509999;12.305;26.09);36674.96;30000
12食堂,(12.31;18.2;15.31;25.08);8256;12000,(12.31;18.2;15.31;25.08);8256;12000,(12.31;18.2;15.31;25.08);8256;12000
13户外体育区,(31.995;10.715;39.265;25.845);43998.04;0,(31.995;10.715;39.265;25.845);43998.04;0,(31.995;10.715;39.265;25.845);43998.04;0
