Districts ,0,1,2,3,4
0创研中心1,(51;24.785;54;29.075);5148;9000,(51;24.785;54;29.075);5148;9000,(51;24.785;54;29.075);5148;9000,(51;24.785;54;29.075);5148;9000,(50.5;24.785;53.5;29.075);5148;9000
1创研中心2,(17.44;13.645;20.44;18.795);6180;16220.47,(17.44;13.645;20.44;18.795);6180;16220.47,(17.44;13.645;20.44;18.795);6180;16220.47,(17.44;13.645;20.44;18.795);6180;16220.47,(17.095;13.155;20.605;18.905);8073;21194.19
1创研中心2,(45.485;22.68;50.495;25.68);6012;15779.53,(45.485;22.68;50.495;25.68);6012;15779.53,(45.485;22.68;50.495;25.68);6012;15779.53,(45.485;22.68;50.495;25.68);6012;15779.53,(45.28;22.685;48.28;26.115);4116;10805.81
2创研中心3,(7.28;2.405;13.3;5.415);7248.08;12694.74,(7.28;2.405;13.3;5.415);7248.08;12694.74,(7.28;2.405;13.3;5.415);7248.08;12694.74,(7.28;2.405;13.3;5.415);7248.08;12694.74,(6.785;2.41;12.275;5.71);7246.8;12679.96
2创研中心3,(7.28;5.92;10.28;8.92);3600;6305.26,(7.28;5.92;10.28;8.92);3600;6305.26,(7.28;5.92;10.28;8.92);3600;6305.26,(7.28;5.92;10.28;8.92);3600;6305.26,(6.775;6.2;9.785;9.2);3612;6320.04
3实训中心组团,(36.59;23.1;44.99;32.1);30240;36800.21,(36.59;23.1;44.99;32.1);30240;36800.21,(36.59;23.1;44.99;32.1);30240;36800.21,(36.59;23.1;44.99;32.1);30240;36800.21,(38.78;22.74;44.78;32.88);24336;29621.34
3实训中心组团,(17.3;2.415;23.3;8.765);15240;18546.14,(17.3;2.415;23.3;8.765);15240;18546.14,(17.3;2.415;23.3;8.765);15240;18546.14,(17.3;2.415;23.3;8.765);15240;18546.14,(16.275;2.415;25.085;8.965);23082.2;28095.24
3实训中心组团,(23.8;4.42;29.8;12.16);18576;22605.84,(23.8;4.42;29.8;12.16);18576;22605.84,(23.8;4.42;29.8;12.16);18576;22605.84,(23.8;4.42;29.8;12.16);18576;22605.84,(25.585;2.42;31.695;9.22);16619.2;20228.59
3实训中心组团,(7.28;24.25;19.28;30.25);28800;35047.82,(7.28;24.25;19.28;30.25);28800;35047.82,(7.28;24.25;19.28;30.25);28800;35047.82,(7.28;24.25;19.28;30.25);28800;35047.82,(11.46;24.25;23.46;30.25);28800;35054.84
4应急装备产业组团,(30.3;2.425;38.04;13.035);32848.56;40000,(30.3;2.425;38.04;13.035);32848.56;40000,(30.3;2.425;38.04;13.035);32848.56;40000,(30.3;2.425;38.04;13.035);32848.56;40000,(32.19;2.43;39.27;13.89);32454.72;40000
5无人机实训基地,(7.28;9.424999;16.92;18.795);36130.72;44000,(7.28;9.424999;16.92;18.795);36130.72;44000,(7.28;9.424999;16.92;18.795);36130.72;44000,(7.28;9.424999;16.92;18.795);36130.72;44000,(6.78;9.705;16.6;18.915);36176.88;44000
6特色街区,(21.16;12.66;26.84;21.34);19720.96;12000,(21.16;12.66;26.84;21.34);19720.96;12000,(21.16;12.66;26.84;21.34);19720.96;12000,(21.16;12.66;26.84;21.34);19720.96;12000,(21.105;11.73;26.735;20.49);19727.52;12000
7展示中心,(13.8;2.41;16.8;7.89);6576;4000,(13.8;2.41;16.8;7.89);6576;4000,(13.8;2.41;16.8;7.89);6576;4000,(13.8;2.41;16.8;7.89);6576;4000,(12.77;3.73;15.77;9.21);6576;4000
8产教创新融合中心,(14.3;19.29;20.44;23.75);10953.76;20000,(14.3;19.29;20.44;23.75);10953.76;20000,(14.3;19.29;20.44;23.75);10953.76;20000,(14.3;19.29;20.44;23.75);10953.76;20000,(14.28;19.41;20.6;23.75);10971.52;20000
9书吧,(10.78;20.33;13.78;23.75);4104;2500,(10.78;20.33;13.78;23.75);4104;2500,(10.78;20.33;13.78;23.75);4104;2500,(10.78;20.33;13.78;23.75);4104;2500,(10.285;19.41;13.495;22.61);4108.8;2500
10人才公寓,(27.34;13.87;37.48;21.11);29365.44;92000,(27.34;13.87;37.48;21.11);29365.44;92000,(27.34;13.87;37.48;21.11);29365.44;92000,(27.34;13.87;37.48;21.11);29365.44;92000,(27.23;14.39;39.27;20.49);29377.6;92000
11康养组团,(45.485;26.54;50.495;31.8);10541.04;33000,(45.485;26.54;50.495;31.8);10541.04;33000,(45.485;26.54;50.495;31.8);10541.04;33000,(45.485;26.54;50.495;31.8);10541.04;33000,(45.28;26.605;50;31.895);9987.52;33000
12体育馆及其配套,(30.095;21.815;36.085;33.805);28728.04;30000,(30.095;21.815;36.085;33.805);28728.04;30000,(30.095;21.815;36.085;33.805);28728.04;30000,(30.095;21.815;36.085;33.805);28728.04;30000,(32.285;21.695;38.275;33.685);28728.04;30000
13食堂,(8.015;30.75;14.585;34.03);8619.84;12000,(8.015;30.75;14.585;34.03);8619.84;12000,(8.015;30.75;14.585;34.03);8619.84;12000,(8.015;30.75;14.585;34.03);8619.84;12000,(14.035;30.75;20.605;34.03);8619.84;12000
14户外体育区,(20.945;21.92;29.595;33.8);41104.8;0,(20.945;21.92;29.595;33.8);41104.8;0,(20.945;21.92;29.595;33.8);41104.8;0,(20.945;21.92;29.595;33.8);41104.8;0,(23.95;20.99;31.69;34.03);40371.84;0
