Districts ,0,1,2,3,4
0创研中心1,(16.785;14.23;21.075;17.23);5148;9000,(16.785;14.25;21.075;17.25);5148;9000,(16.785;14.24;21.075;17.24);5148;9000,(16.785;14.25;21.075;17.25);5148;9000,(16.785;14.26;21.075;17.26);5148;9000
1创研中心2,(6.78;27.53;10.94;30.53);4992;13102.36,(6.78;27.53;10.94;30.53);4992;13102.36,(6.78;27.53;10.94;30.53);4992;13102.36,(6.78;27.53;10.94;30.53);4992;13102.36,(6.78;27.53;10.94;30.53);4992;13102.36
1创研中心2,(7.09;31.03;13.09;34.03);7200;18897.64,(7.09;31.03;13.09;34.03);7200;18897.64,(7.09;31.03;13.09;34.03);7200;18897.64,(7.09;31.03;13.09;34.03);7200;18897.64,(7.09;31.03;13.09;34.03);7200;18897.64
2创研中心3,(29.42;14.23;32.42;17.23);3600;6305.26,(29.38;14.25;32.38;17.25);3600;6305.26,(29.39;14.24;32.39;17.24);3600;6305.26,(29.37;14.25;32.37;17.25);3600;6305.26,(29.37;14.26;32.37;17.26);3600;6305.26
2创研中心3,(6.785;14.06;9.795;20.08);7248.08;12694.74,(6.785;14.06;9.795;20.08);7248.08;12694.74,(6.785;14.06;9.795;20.08);7248.08;12694.74,(6.785;14.06;9.795;20.08);7248.08;12694.74,(6.785;14.06;9.795;20.08);7248.08;12694.74
3实训中心组团,(13.59;28.03;25.59;34.03);28800;35065.94,(13.59;28.03;25.59;34.03);28800;35065.94,(13.59;28.03;25.59;34.03);28800;35065.94,(13.59;28.03;25.59;34.03);28800;35065.94,(13.59;28.03;25.59;34.03);28800;35065.94
3实训中心组团,(26.09;17.735;32.09;29.365);27912;33984.74,(26.09;17.755;32.09;29.385);27912;33984.74,(26.09;17.745;32.09;29.375);27912;33984.74,(26.09;17.755;32.09;29.385);27912;33984.74,(26.09;17.755;32.09;29.385);27912;33984.74
3实训中心组团,(36.09;24.34;42.09;33.38);21696;26416.34,(36.09;24.34;42.09;33.38);21696;26416.34,(36.09;24.34;42.09;33.38);21696;26416.34,(36.09;24.34;42.09;33.38);21696;26416.34,(36.09;24.34;42.09;33.38);21696;26416.34
3实训中心组团,(10.29;13.5;16.29;19.5);14400;17532.97,(10.29;13.5;16.29;19.5);14400;17532.97,(10.29;13.5;16.29;19.5);14400;17532.97,(10.29;13.5;16.29;19.5);14400;17532.97,(10.29;13.5;16.29;19.5);14400;17532.97
4应急装备产业组团,(6.785;20.575;19.515;27.025);32843.4;40000,(6.785;20.575;19.515;27.025);32843.4;40000,(6.785;20.575;19.515;27.025);32843.4;40000,(6.785;20.575;19.515;27.025);32843.4;40000,(6.785;20.575;19.515;27.025);32843.4;40000
5无人机实训基地,(42.585;22.675;53.035;31.325);36157;44000,(42.585;22.675;53.035;31.325);36157;44000,(42.585;22.675;53.035;31.325);36157;44000,(42.585;22.675;53.035;31.325);36157;44000,(42.585;22.675;53.035;31.325);36157;44000
6特色街区,(20.015;17.73;25.085;27.45);19712.16;12000,(20.015;17.75;25.085;27.47);19712.16;12000,(20.015;17.74;25.085;27.46);19712.16;12000,(20.015;17.75;25.085;27.47);19712.16;12000,(20.015;17.76;25.085;27.48);19712.16;12000
7展示中心,(26.09;30.59;30.87;34.03);6577.28;4000,(26.09;30.59;30.87;34.03);6577.28;4000,(26.09;30.59;30.87;34.03);6577.28;4000,(26.09;30.59;30.87;34.03);6577.28;4000,(26.09;30.59;30.87;34.03);6577.28;4000
8产教创新融合中心,(21.58;13.505;28.92;17.235);10951.28;20000,(21.58;13.505;28.88;17.255);10950;20000,(21.575;13.5;28.885;17.24);10935.76;20000,(21.575;13.505;28.865;17.255);10935;20000,(21.575;13.5;28.865;17.26);10964.16;20000
9书吧,(32.59;22.68;35.59;26.1);4104;2500,(32.59;22.68;35.59;26.1);4104;2500,(32.59;22.68;35.59;26.1);4104;2500,(32.59;22.68;35.59;26.1);4104;2500,(32.59;22.68;35.59;26.1);4104;2500
10人才公寓,(30.455;4.16;39.265;12.5);29390.16;92000,(30.455;4.16;39.265;12.5);29390.16;92000,(30.455;4.16;39.265;12.5);29390.16;92000,(30.455;4.16;39.265;12.5);29390.16;92000,(30.455;4.16;39.265;12.5);29390.16;92000
11康养组团,(24.86;7.335;29.96;12.505);10546.8;33000,(24.86;7.335;29.96;12.505);10546.8;33000,(24.86;7.335;29.96;12.505);10546.8;33000,(24.86;7.335;29.96;12.505);10546.8;33000,(24.86;7.335;29.96;12.505);10546.8;33000
12体育馆及其配套,(17.215;2.42;24.345;12.5);28748.16;30000,(17.215;2.42;24.345;12.5);28748.16;30000,(17.215;2.42;24.345;12.5);28748.16;30000,(17.215;2.42;24.345;12.5);28748.16;30000,(17.215;2.42;24.345;12.5);28748.16;30000
13食堂,(24.845;2.61;29.955;6.83);8625.68;12000,(24.845;2.61;29.955;6.83);8625.68;12000,(24.845;2.61;29.955;6.83);8625.68;12000,(24.845;2.61;29.955;6.83);8625.68;12000,(24.845;2.61;29.955;6.83);8625.68;12000
14户外体育区,(6.785;2.415;16.695;12.505);39996.76;0,(6.785;2.415;16.695;12.505);39996.76;0,(6.785;2.415;16.695;12.505);39996.76;0,(6.785;2.415;16.695;12.505);39996.76;0,(6.785;2.415;16.695;12.505);39996.76;0
