Districts ,0
0创研中心1,(24.675;13.43;28.965;16.43);5148;9000
1创研中心2,(20.02;13.43;24.18;16.43);4992;13102.36
1创研中心2,(6.78;31.03;12.78;34.03);7200;18897.64
2创研中心3,(20.02;19.93;23.02;22.93);3600;6305.26
2创研中心3,(23.5;24.105;29.52;27.115);7248.08;12694.74
3实训中心组团,(23.52;16.93;29.52;22.93);14400;17532.29
3实训中心组团,(6.785;23.43;20.975;30.53);40299.6;49065.58
3实训中心组团,(13.52;16.93;19.52;22.93);14400;17532.29
3实训中心组团,(6.78;13.43;13.02;22.93);23712;28869.84
4应急装备产业组团,(23.525;27.615;36.335;34.025);32844.84;40000
5无人机实训基地,(40.755;22.68;51.045;31.46);36138.48;44000
6特色街区,(30.02;16.935;35.04;26.745);19698.48;12000
7展示中心,(36.56;22.68;40.26;27.12);6571.2;4000
8产教创新融合中心,(35.545;13.425;39.275;20.775);10966.2;20000
9书吧,(36.84;30.73;40.26;33.73);4104;2500
10人才公寓,(6.785;2.405;14.135;12.395);29370.6;92000
11康养组团,(22.325;2.42;28.515;6.68);10547.76;33000
12体育馆及其配套,(14.635;2.415;21.825;12.405);28731.24;30000
13食堂,(24.575;7.29;28.765;12.43);8614.64;12000
14户外体育区,(29.27;2.42;39.27;12.42);40000;0
