Districts ,0,1,2,3,4
0总部办公中心,(50.18;23.51;54;31.15);11673.92;30000,(50.18;23.51;54;31.15);11673.92;30000,(50.18;23.51;54;31.15);11673.92;30000,(50.18;23.51;54;31.15);11673.92;30000,(50.18;23.51;54;31.15);11673.92;30000
1创意工作坊,(35.475;13.5;39.265;21.08);11491.28;15000,(45.895;22.68;49.685;30.26);11491.28;15000,(29.35;13.505;36.93;17.295);11491.28;15000,(29.68;13.505;37.26;17.295);11491.28;15000,(42.1;22.685;49.68;26.475);11491.28;15000
2科创孵化中心,(29.665;17.415;34.695;22.185);9597.24;15000,(29.215;22.675;32.785;29.385);9581.88;15000,(29.43;30.57;36.35;34.03);9577.28;15000,(29.68;30.57;36.6;34.03);9577.28;15000,(37.045;26.96;41.595;32.22);9573.2;15000
3大中型中试厂房,(7.275;13.5;18.325;33.94);90344.81;110000,(7.285;14.875;19.075;34.025);90311.4;110000,(7.275001;13.5;19.345;32.22);90380.15;110000,(7.285;13.495;19.295;32.305);90363.24;110000,(7.28;13.5;18.96;32.84);90356.48;110000
4小型中试厂房,(29.17;22.68;41.91;31.96);47290.88;57563.35,(33.29;22.68;45.39;32.76);48787.2;59419.68,(29.435;17.85;37.625;30.07);40032.72;48736.76,(38.62;22.675;49.68;30.065);32693.36;39782,(29.105;13.5;39.275;26.46);52721.28;64157.1
4小型中试厂房,(42.405;22.68;49.615;31.92);26648.16;32436.65,(29.08;13.505;36.32;22.175);25108.32;30580.32,(38.12;22.685;49.68;30.015);33893.92;41263.24,(29.675;17.795;38.125;30.005);41269.8;50218,(29;26.97;36.52;34.03);21236.48;25842.9
5特色街区,(18.835;14.415;29.165;19.585);21362.44;13000,(20.145;13.535;27.855;20.465);21372.12;13000,(19.875;13.765;28.125;20.235);21351;13000,(19.82;13.805;28.18;20.195);21368.16;13000,(20.04;13.625;27.96;20.375);21384;13000
6展示中心,(24.215;31.03;28.325;34.03);4932;3000,(24.565;29.88;27.935;33.54);4933.68;3000,(25.71;29.935;28.93;33.765);4933.04;3000,(25.9;30.27;29.18;34.03);4933.12;3000,(23.385;30.63;27.495;33.63);4932;3000
7产教研中心,(18.83;29.215;23.71;34.025);9389.12;20000,(19.575;28.305;24.065;33.535);9393.08;20000,(19.945;29.315;25.215;33.765);9380.6;20000,(19.795;28.785;24.265;34.035);9387;20000,(19.455;26.775;22.885;33.625);9398.2;20000
8转化中心,(25.67;25.05;28.67;30.53);6576;4000,(25.72;23.9;28.72;29.38);6576;4000,(25.71;23.96;28.71;29.44);6576;4000,(24.76;24.29;27.76;29.77);6576;4000,(25.5;24.65;28.5;30.13);6576;4000
9公寓,(26.37;2.46;33.53;12.5);28754.56;90000,(25.855;2.42;32.985;12.5);28748.16;90000,(32.085;2.42;39.275;12.42);28760;90000,(26.405;2.42;33.595;12.42);28760;90000,(26.37;2.46;33.53;12.5);28754.56;90000
10康养组团,(34.03;2.425;39.27;7.755);11171.68;35000,(33.505;7.655;39.275;12.505);11193.8;35000,(26.405;2.42;31.575;7.82);11167.2;35000,(34.095;7.1;39.265;12.5);11167.2;35000,(34.03;2.425;39.27;7.755);11171.68;35000
11体育馆及其配套,(18.185;2.42;25.315;12.5);28748.16;30000,(18.185;2.42;25.315;12.5);28748.16;30000,(18.185;2.42;25.315;12.5);28748.16;30000,(18.185;2.42;25.315;12.5);28748.16;30000,(18.185;2.42;25.315;12.5);28748.16;30000
12食堂,(34.035;8.315;39.185;12.505);8631.4;12000,(33.51;2.43;39.27;6.17);8616.96;12000,(25.815;8.34;31.005;12.5);8636.16;12000,(34.095;2.425;39.265;6.595);8623.56;12000,(34.025;8.315;39.175;12.505);8631.4;12000
13户外体育区,(7.275;2.415;17.685;12.505);42014.76;0,(7.275;2.415;17.685;12.505);42014.76;0,(7.275;2.415;17.685;12.505);42014.76;0,(7.275;2.415;17.685;12.505);42014.76;0,(7.275;2.415;17.685;12.505);42014.76;0
