Districts ,0,1,2,3,4
0创研中心1,(51;27.035;54;31.145);4932;9000,(51;27.035;54;31.145);4932;9000,(51;27.035;54;31.145);4932;9000,(51;27.035;54;31.145);4932;9000,(51;27.035;54;31.145);4932;9000
1创研中心2,(34.13;13.5;39.27;19.18);11678.08;32000,(31.63;13.5;39.27;17.32);11673.92;32000,(33.765;13.5;39.275;18.8);11681.2;32000,(35.08;25.74;38.9;33.38);11673.92;32000,(35.45;13.5;39.27;21.14);11673.92;32000
2创研中心3,(30.495;30.425;37.705;34.035);10411.24;19000,(29.5;17.825;33.34;24.595);10398.72;19000,(33.585;20.405;39.275;24.975);10401.32;19000,(30.965;26.815;34.575;34.025);10411.24;19000,(31.345;14.965;34.955;22.175);10411.24;19000
3大实训中心组团,(7.28;13.5;19;33.3);92822.4;113000,(7.275;13.93;18.825;34.03);92862.01;113000,(7.285;13.495;18.995;33.305);92790.04;113000,(7.285;13.5;19.435;32.6);92826;113000,(7.280001;13.5;19.76;32.1);92851.2;113000
4应急装备产业组团,(38.98;22.675;50.5;29.805);32855.04;40000,(39.775;22.68;50.505;30.34);32876.72;40000,(41.39;22.675;50.37;31.825);32866.8;40000,(31.9;13.505;38.9;25.235);32844;40000,(39.37;22.68;49.07;31.14);32824.8;40000
5无人机实训基地,(29;20.395;38.48;29.925);36137.76;44000,(29.015;25.095;39.265;33.905);36121;44000,(29.01;25.48;39.87;33.8);36142.08;44000,(39.4;23.66;50.5;31.8);36141.6;44000,(29.935;22.68;38.865;32.8);36148.64;44000
6特色街区,(19.85;14.03;28.15;19.97);19720.8;12000,(19.905;13.99;28.095;20.01);19721.52;12000,(19.495;14.265;28.505;19.735);19713.88;12000,(19.965;13.95;28.035;20.05);19690.8;12000,(20.305;13.665;27.695;20.335);19716.52;12000
7展示中心,(19.96;30.31;24.38;34.03);6576.96;4000,(23.52;21.6;29;24.6);6576;4000,(19.53;31.03;25.01;34.03);6576;4000,(19.93;31.03;25.41;34.03);6576;4000,(20.26;31.03;25.74;34.03);6576;4000
8产教创新融合中心,(19.5;22.53;24.76;27.73);10940.8;20000,(19.33;20.51;23.03;27.91);10952;20000,(19.53;25.48;25.01;30.48);10960;20000,(19.93;24.25;24.29;30.53);10952.32;20000,(22.24;23.13;25.94;30.53);10952;20000
9书吧,(25.5;26.39;28.5;29.81);4104;2500,(21.49;28.41;24.91;31.41);4104;2500,(25.51;30.61;28.51;34.03);4104;2500,(27.47;27.11;30.47;30.53);4104;2500,(26.44;27.11;29.44;30.53);4104;2500
10人才公寓,(31.975;2.42;39.265;12.5);29393.28;92000,(26.415;2.42;33.705;12.5);29393.28;92000,(31.97;2.425;39.27;12.495);29404.4;92000,(31.925;2.5;39.275;12.5);29400;92000,(30.93;3.685;39.27;12.495);29390.16;92000
11康养组团,(25.32;6.865;30;12.495);10539.36;33000,(34.27;7.224999;39.27;12.495);10540;33000,(25.315;6.945;30.065;12.495);10545;33000,(26.505;7.105;31.395;12.495);10542.84;33000,(25.485;7.175;30.435;12.505);10553.4;33000
12体育馆及其配套,(17.695;2.42;24.825;12.5);28748.16;30000,(17.695;2.42;24.825;12.5);28748.16;30000,(17.695;2.42;24.825;12.5);28748.16;30000,(17.695;2.42;24.825;12.5);28748.16;30000,(17.695;2.42;24.825;12.5);28748.16;30000
13食堂,(26.015;2.415;31.485;6.365);8642.6;12000,(34.205;2.425;39.275;6.675);8619;12000,(25.32;2.42;30.68;6.44);8618.88;12000,(25.32;2.42;30.58;6.52);8626.4;12000,(25.365;2.42;30.435;6.68);8639.28;12000
14户外体育区,(7.285;2.415;17.195;12.505);39996.76;0,(7.28;2.42;17.2;12.5);39997.44;0,(7.285;2.415;17.195;12.505);39996.76;0,(7.285;2.415;17.195;12.505);39996.76;0,(7.285;2.415;17.195;12.505);39996.76;0
