Districts ,0,1,2,3,4
0创研中心1,(50.765;27.495;53.995;31.145);4715.8;9000,(50.765;27.495;53.995;31.145);4715.8;9000,(50.765;27.495;53.995;31.145);4715.8;9000,(50.765;27.495;53.995;31.145);4715.8;9000,(50.765;27.495;53.995;31.145);4715.8;9000
1创研中心2,(48;23.5;54;26.5);7200;18897.64,(48;23.5;54;26.5);7200;18897.64,(48;23.5;54;26.5);7200;18897.64,(48;23.5;54;26.5);7200;18897.64,(48;23.5;54;26.5);7200;18897.64
1创研中心2,(43.34;23.5;47.5;26.5);4992;13102.36,(43.34;23.5;47.5;26.5);4992;13102.36,(43.34;23.5;47.5;26.5);4992;13102.36,(43.34;23.5;47.5;26.5);4992;13102.36,(43.34;23.5;47.5;26.5);4992;13102.36
2创研中心3,(43.345;26.995;46.595;31.145);5395;9618.38,(43.345;26.995;46.595;31.145);5395;9618.38,(43.345;26.995;46.595;31.145);5395;9618.38,(43.345;26.995;46.595;31.145);5395;9618.38,(43.345;26.995;46.595;31.145);5395;9618.38
2创研中心3,(47.095;26.995;50.265;31.145);5262.2;9381.62,(47.095;26.995;50.265;31.145);5262.2;9381.62,(47.095;26.995;50.265;31.145);5262.2;9381.62,(47.095;26.995;50.265;31.145);5262.2;9381.62,(47.095;26.995;50.265;31.145);5262.2;9381.62
3实训中心组团,(7.275;20.44;13.545;32.94);31350;38147.85,(7.275;20.44;13.545;32.94);31350;38147.85,(7.275;20.44;13.545;32.94);31350;38147.85,(7.275;20.44;13.545;32.94);31350;38147.85,(7.275;20.44;13.545;32.94);31350;38147.85
3实训中心组团,(14.045;26.94;20.055;32.94);14424;17551.66,(14.045;26.94;20.055;32.94);14424;17551.66,(14.045;26.94;20.055;32.94);14424;17551.66,(14.045;26.94;20.055;32.94);14424;17551.66,(14.045;26.94;20.055;32.94);14424;17551.66
3实训中心组团,(7.28;13.555;20.06;19.945);32665.68;39748.82,(7.28;13.555;20.06;19.945);32665.68;39748.82,(7.28;13.555;20.06;19.945);32665.68;39748.82,(7.28;13.555;20.06;19.945);32665.68;39748.82,(7.28;13.555;20.06;19.945);32665.68;39748.82
3实训中心组团,(14.045;20.44;20.055;26.44);14424;17551.66,(14.045;20.44;20.055;26.44);14424;17551.66,(14.045;20.44;20.055;26.44);14424;17551.66,(14.045;20.44;20.055;26.44);14424;17551.66,(14.045;20.44;20.055;26.44);14424;17551.66
4应急装备产业组团,(30.055;23.81;42.845;30.23);32844.72;40000,(30.055;23.81;42.845;30.23);32844.72;40000,(30.055;23.81;42.845;30.23);32844.72;40000,(30.055;23.81;42.845;30.23);32844.72;40000,(30.055;23.81;42.845;30.23);32844.72;40000
5无人机实训基地,(30.055;13.495;39.265;23.305);36140.04;44000,(30.055;13.495;39.265;23.305);36140.04;44000,(30.055;13.495;39.265;23.305);36140.04;44000,(30.055;13.495;39.265;23.305);36140.04;44000,(30.055;13.495;39.265;23.305);36140.04;44000
6特色街区,(20.555;13.725;27.865;20.475);19737;12000,(20.555;13.725;27.865;20.475);19737;12000,(20.555;13.725;27.865;20.475);19737;12000,(20.555;13.725;27.865;20.475);19737;12000,(20.555;13.725;27.865;20.475);19737;12000
7展示中心,(24.58;30.73;30.06;33.73);6576;4000,(24.58;30.73;30.06;33.73);6576;4000,(24.58;30.73;30.06;33.73);6576;4000,(24.58;30.73;30.06;33.73);6576;4000,(24.58;30.73;30.06;33.73);6576;4000
8产教创新融合中心,(20.56;20.98;27.96;24.68);10952;20000,(20.56;20.98;27.96;24.68);10952;20000,(20.56;20.98;27.96;24.68);10952;20000,(20.56;20.98;27.96;24.68);10952;20000,(20.56;20.98;27.96;24.68);10952;20000
9书吧,(25.61;27.23;29.03;30.23);4104;2500,(25.61;27.23;29.03;30.23);4104;2500,(25.61;27.23;29.03;30.23);4104;2500,(25.61;27.23;29.03;30.23);4104;2500,(25.61;27.23;29.03;30.23);4104;2500
10人才公寓,(31.585;2.42;38.875;12.5);29393.28;92000,(31.585;2.42;38.875;12.5);29393.28;92000,(26.025;2.42;33.315;12.5);29393.28;92000,(31.585;2.42;38.875;12.5);29393.28;92000,(31.585;2.42;38.875;12.5);29393.28;92000
11康养组团,(26.015;7.3;31.085;12.5);10545.6;33000,(26.015;7.3;31.085;12.5);10545.6;33000,(33.81;7.304999;38.89;12.495);10546.08;33000,(26.015;7.3;31.085;12.5);10545.6;33000,(26.015;7.3;31.085;12.5);10545.6;33000
12体育馆及其配套,(18.395;2.42;25.525;12.5);28748.16;30000,(18.395;2.42;25.525;12.5);28748.16;30000,(18.395;2.42;25.525;12.5);28748.16;30000,(18.395;2.42;25.525;12.5);28748.16;30000,(18.395;2.42;25.525;12.5);28748.16;30000
13食堂,(26.02;2.42;30.94;6.8);8619.84;12000,(26.02;2.42;30.94;6.8);8619.84;12000,(33.81;2.43;38.73;6.81);8619.84;12000,(26.02;2.42;30.94;6.8);8619.84;12000,(26.02;2.42;30.94;6.8);8619.84;12000
14户外体育区,(7.535;2.5;17.885;12.5);41400;0,(7.535;2.5;17.885;12.5);41400;0,(7.535;2.5;17.885;12.5);41400;0,(7.535;2.5;17.885;12.5);41400;0,(7.535;2.5;17.885;12.5);41400;0
