Districts ,0,1,2,3,4
0创研中心1,(50.2;27.5;53.5;31.24);4936.8;9000,(50.2;27.5;53.5;31.24);4936.8;9000,(50.2;27.5;53.5;31.24);4936.8;9000,(50.24;27.5;53.5;31.24);4876.96;9000,(50.24;27.5;53.5;31.24);4876.96;9000
1创研中心2,(46.7;27.5;49.7;31.24);4488;11772.58,(46.7;27.5;49.7;31.24);4488;11772.58,(46.7;27.5;49.7;31.24);4488;11772.58,(46.74;27.5;49.74;31.24);4488;11787.26,(46.74;27.5;49.74;31.24);4488;11787.26
1创研中心2,(43.195;23.26;49.145;26.5);7711.2;20227.42,(43.195;23.26;49.145;26.5);7711.2;20227.42,(43.195;23.26;49.145;26.5);7711.2;20227.42,(43.24;23.245;49.16;26.495);7696;20212.74,(43.24;23.245;49.16;26.495);7696;20212.74
2创研中心3,(43.2;27;46.2;31.24);5088;8899.56,(43.2;27;46.2;31.24);5088;8899.56,(43.2;27;46.2;31.24);5088;8899.56,(43.24;27;46.24;31.24);5088;8911.5,(43.24;27;46.24;31.24);5088;8911.5
2创研中心3,(49.64;23.26;53.5;27);5774.56;10100.44,(49.64;23.26;53.5;27);5774.56;10100.44,(49.64;23.26;53.5;27);5774.56;10100.44,(49.66;23.245;53.5;26.995);5760;10088.5,(49.66;23.245;53.5;26.995);5760;10088.5
3实训中心组团,(10.28;24.07;13.28;27.07);3600;4843.2,(10.28;24.07;13.28;27.07);3600;4843.2,(10.28;24.07;13.28;27.07);3600;4843.2,(10.28;24.07;13.28;27.07);3600;4850.46,(10.28;24.07;13.28;27.07);3600;4850.46
3实训中心组团,(6.78;24.07;9.78;27.07);3600;4843.2,(6.78;24.07;9.78;27.07);3600;4843.2,(6.78;24.07;9.78;27.07);3600;4843.2,(6.78;24.07;9.78;27.07);3600;4850.46,(6.78;24.07;9.78;27.07);3600;4850.46
3实训中心组团,(13.78;13.41;23;27.07);50378.08;67775.29,(13.78;13.41;23;27.07);50378.08;67775.29,(13.78;13.41;23;27.07);50378.08;67775.29,(13.78;13.43;23;27.07);50304.32;67777.54,(13.78;13.43;23;27.07);50304.32;67777.54
3实训中心组团,(6.78;13.41;13.28;23.57);26416;35538.31,(6.78;13.41;13.28;23.57);26416;35538.31,(6.78;13.41;13.28;23.57);26416;35538.31,(6.78;13.43;13.28;23.57);26364;35521.54,(6.78;13.43;13.28;23.57);26364;35521.54
4应急装备产业组团,(10.28;27.57;23;34.03);32868.48;40000,(10.28;27.57;23;34.03);32868.48;40000,(10.28;27.57;23;34.03);32868.48;40000,(10.28;27.57;23;34.03);32868.48;40000,(10.28;27.57;23;34.03);32868.48;40000
5无人机实训基地,(33.5;22.68;42.68;32.52);36132.48;44000,(33.5;22.68;42.68;32.52);36132.48;44000,(33.5;22.68;42.68;32.52);36132.48;44000,(33.42;22.68;41.86;33.38);36123.2;44000,(33.42;22.68;41.86;33.38);36123.2;44000
6特色街区,(23.505;13.42;28.775;22.76);19688.72;12000,(23.505;13.42;28.775;22.76);19688.72;12000,(23.505;13.42;28.775;22.76);19688.72;12000,(23.5;13.44;28.82;22.7);19705.28;12000,(23.5;13.44;28.82;22.7);19705.28;12000
7展示中心,(23.5;28.895;27.16;33.385);6573.36;4000,(23.5;28.895;27.16;33.385);6573.36;4000,(23.5;28.895;27.16;33.385);6573.36;4000,(23.495;28.78;27.025;33.44);6579.92;4000,(23.495;28.78;27.025;33.44);6579.92;4000
8产教创新融合中心,(27.66;23.275;33;28.405);10957.68;20000,(27.66;23.255;33;28.385);10957.68;20000,(27.66;23.275;33;28.405);10957.68;20000,(27.525;23.2;32.915;28.28);10952.48;20000,(27.525;23.2;32.915;28.28);10952.48;20000
9书吧,(29.58;14.55;33;17.55);4104;2500,(29.58;14.55;33;17.55);4104;2500,(29.58;14.55;33;17.55);4104;2500,(29.58;15.61;33;18.61);4104;2500,(29.58;13.44;33;16.44);4104;2500
10人才公寓,(27.745;2.42;35.095;12.42);29400;92000,(27.745;2.42;35.095;12.42);29400;92000,(27.745;2.42;35.095;12.42);29400;92000,(27.8;2.425;35.14;12.435);29389.36;92000,(27.8;2.425;35.14;12.435);29389.36;92000
11康养组团,(35.595;3.2;39.225;10.46);10541.52;33000,(35.595;3.2;39.225;10.46);10541.52;33000,(35.595;3.2;39.225;10.46);10541.52;33000,(35.635;2.42;39.265;9.68);10541.52;33000,(35.635;2.42;39.265;9.68);10541.52;33000
12体育馆及其配套,(10.57;2.405;17.75;12.415);28748.72;30000,(10.57;2.405;17.75;12.415);28748.72;30000,(10.57;2.405;17.75;12.415);28748.72;30000,(10.645;2.42;17.815;12.44);28737.36;30000,(10.645;2.42;17.815;12.44);28737.36;30000
13食堂,(6.78;3.475;10.06;10.045);8619.84;12000,(6.78;2.405;10.06;8.975);8619.84;12000,(6.78;3.475;10.06;10.045);8619.84;12000,(6.78;2.405;10.06;8.975);8619.84;12000,(6.78;5.865;10.06;12.435);8619.84;12000
14户外体育区,(18.25;2.42;27.25;12.42);36000;0,(18.25;2.42;27.25;12.42);36000;0,(18.25;2.42;27.25;12.42);36000;0,(18.32;2.42;27.3;12.44);35991.84;0,(18.32;2.42;27.3;12.44);35991.84;0
