学校类型：综合一类
学生人数：19000
用地面积：1385000
总建筑面积：目标900250,配置926390
校舍用地：目标570000，最低583456.27
体育用地：152000
容积率：目标0.65，配置0.67
实际建筑密度：0.14
分区面积上浮范围：-0.02
 
 ,名称,面积,容积率,密度,总建筑面积
0,公共教学区,35846.67,1.5,0.3,53770
1,专业教学区,78208.33,1.25,0.31,97770,2
2,图书馆,23891.43,1.8,0.36,43060
3,室内体育区,37185.71,0.7,0.35,26030
4,校级行政区,6650,2,0.4,13300
5,院系办公区,12065,2,0.4,24130
6,学生活动区,9500,0.7,0.35,6650
7,会堂,10585.71,0.54,0.27,5700
8,学生宿舍区,172222.23,1.68,0.28,290000,3
9,食堂,39583.33,0.6,0.3,23750,2
10,教师公寓区,3800,2,0.25,7600
11,后勤区,48042.86,0.7,0.35,33630
12,国际学生区,10000,1.5,0.3,15000
13,培训教育区,14000,1.86,0.37,26000
14,学术交流区,10000,3,0.3,30000
15,产学融合区,71875,3.2,0.4,230000,2
16,户外体育区,152000,0,0,0,2
