学校类型：综合二类
学生人数：19000
用地面积：1065000
总建筑面积：目标852000,配置855973
校舍用地：目标570000，最低566107.38
体育用地：152000
容积率：目标0.8，配置0.8
实际建筑密度：0.18
分区面积上浮范围：0.01
 
 ,名称,面积,容积率,密度,总建筑面积
0,公共教学区,36480,1.5,0.3,54720
1,专业教学区,69424,1.54,0.31,106586,2
2,图书馆,18449.5,2,0.4,36899
3,室内体育区,29368.57,0.7,0.35,20558
4,校级行政区,5795,2,0.4,11590
5,院系办公区,11723,2,0.4,23446
6,学生活动区,8278.57,0.7,0.35,5795
7,会堂,6677.14,0.7,0.35,4674
8,学生宿舍区,186580.65,1.45,0.29,270000,3
9,食堂,32707.14,0.7,0.35,22895,3
10,教师公寓区,7200,2,0.25,15200
11,后勤区,21578.57,0.7,0.35,15105.0
12,国际学生区,17333.34,1.5,0.3,26000
13,培训教育区,16666.67,1.8,0.36,30000
14,学术交流区,10000,3,0.3,30000
15,产学融合区,78333.33,2.4,0.4,188000,2
16,户外体育区,152000,0,0,0,3
