Zones ,0,1,2,3,4
0,(56.805;68.405;63.255;80.27499);30624.6;2,(52.665;73.965;58.855;86.335);30628.12;2,(52.665;73.965;58.855;86.335);30628.12;2,(52.665;73.965;58.855;86.335);30628.12;2,(52.665;73.965;58.855;86.335);30628.12;2
1,(85.01;91.725;95.63;105.775);59684.4;2,(82.85;92.595;94.09;105.865);59661.92;2,(82.85;92.595;94.09;105.865);59661.92;2,(82.85;92.595;94.09;105.865);59661.92;2,(82.85;92.595;94.09;105.865);59661.92;2
2,(52.87;86.61;62.39;91.37);18126.08;2,(51.725;96.81;58.855;103.17);18138.72;2,(51.725;96.81;58.855;103.17);18138.72;2,(51.725;96.81;58.855;103.17);18138.72;2,(51.725;96.81;58.855;103.17);18138.72;2
3,(54.595;95.915;63.265;105.405);32911.32;0.7,(65.655;98.27;72.105;111.03);32920.8;0.7,(65.655;98.34;72.105;111.1);32920.8;0.7,(65.655;97.06001;72.105;109.82);32920.8;0.7,(65.655;98.37;72.105;111.13);32920.8;0.7
4,(65.66;86.735;68.66;92.145);6492;2,(47.29;93.965;51.33;97.975);6480.16;2,(47.29;93.965;51.33;97.975);6480.16;2,(47.29;93.965;51.33;97.975);6480.16;2,(47.29;93.965;51.33;97.975);6480.16;2
5,(56.12;80.68999;62.06;86.21);13115.52;2,(57.96;90.215;63.26;96.405);13122.8;2,(57.96;90.215;63.26;96.405);13122.8;2,(57.96;90.215;63.26;96.405);13122.8;2,(57.96;90.215;63.26;96.405);13122.8;2
6,(56.12;64.595;62.92;68.005);9275.2;0.7,(56.17;68.795;61.03;73.565);9272.88;0.7,(56.17;68.795;61.03;73.565);9272.88;0.7,(56.17;68.795;61.03;73.565);9272.88;0.7,(56.17;68.795;61.03;73.565);9272.88;0.7
7,(52.66;61.965;55.72;68.075);7478.64;0.7,(60.2;103.575;63.26;109.685);7478.64;0.7,(60.2;103.575;63.26;109.685);7478.64;0.7,(60.2;103.575;63.26;109.685);7478.64;0.7,(60.2;103.575;63.26;109.685);7478.64;0.7
8,(65.665;92.55;84.615;113.81);161150.81;1.76,(81.345;64;95.63499;92.2);161191.2;1.76,(81.345;64;95.63499;92.2);161191.2;1.76,(81.345;64;95.63499;92.2);161191.2;1.76,(81.345;64;95.63499;92.2);161191.2;1.76
9,(59.715;55.7;63.265;58.7);4260;2,(52.655;55.7;56.205;58.7);4260;2,(52.655;55.7;56.205;58.7);4260;2,(52.655;55.7;56.205;58.7);4260;2,(52.655;55.7;56.205;58.7);4260;2
10,(87.795;55.695;95.625;71.125);48326.76;0.7,(65.655;55.7;75.125;68.46);48334.88;0.7,(65.655;55.7;75.125;68.46);48334.88;0.7,(65.655;55.7;75.125;68.46);48334.88;0.7,(65.655;55.7;75.125;68.46);48334.88;0.7
11,(84.4;55.7;87.4;61.56);7032;1.5,(52.77;86.74;55.77;92.6);7032;1.5,(52.77;86.74;55.77;92.6);7032;1.5,(52.77;86.74;55.77;92.6);7032;1.5,(52.77;86.74;55.77;92.6);7032;1.5
12,(57.4;59.105;63.26;64.195);11930.96;3.37,(52.66;60.665;56.52;68.395);11935.12;3.37,(52.66;60.665;56.52;68.395);11935.12;3.37,(52.66;60.665;56.52;68.395);11935.12;3.37,(52.66;60.665;56.52;68.395);11935.12;3.37
13,(85.73;71.53;95.63;91.33);78408;3,(72.51;99.355;82.45;119.065);78366.96;3,(72.51;99.355;82.45;119.065);78366.96;3,(72.51;99.355;82.45;119.065);78366.96;3,(72.51;99.355;82.45;119.065);78366.96;3
14,(52.66;91.78;60.14;95.52);11190.08;2,(59.25;82.33;62.99;89.81);11190.08;2,(59.25;82.33;62.99;89.81);11190.08;2,(59.25;82.33;62.99;89.81);11190.08;2,(59.25;82.33;62.99;89.81);11190.08;2
15,(69.06;55.7;82.02;62.18);33592.32;2,(75.53;55.705;88.39;62.235);33590.32;2,(75.53;55.705;88.39;62.235);33590.32;2,(75.53;55.705;88.39;62.235);33590.32;2,(75.53;55.705;88.39;62.235);33590.32;2
16,(70.21;62.575;83.99;90.145);151965.83;0,(65.655;68.86501;80.325;97.875);170230.68;0,(65.66;68.86;80.2;97.94);169129.28;0,(65.66;68.86;80.2;96.66);161684.79;0,(65.665;68.855;80.215;97.965);169420.2;0
Rectangle
Roads
Axis
