Zones ,0,1,2,3,4
公共教学区,(81.535;83.255;95.045;90.005);36477;54720;10944;5,(81.345;83.255;94.855;90.005);36477;54720;10944;5,(81.40501;83.255;94.915;90.005);36477;54720;10944;5,(78.92;83.25;92.06;90.19);36476.64;54720;10944;5,(78.92;83.25;92.06;90.19);36476.64;54720;10944;5
专业教学区,(69.25999;83.25;81.14;90.25);33264;51074.61;9275.72;5;939.21;5,(69.06;83.25;80.94;90.25);33264;51074.61;9275.72;5;939.21;5,(69.055;83.255;81.005;90.405);34177;52452.97;9526.04;5;964.55;5,(69.06;83.25;78.52;90.59);27774.56;42627.03;7741.54;5;783.86;5,(69.06;83.25;78.52;90.59);27774.56;42627.03;7741.54;5;783.86;5
专业教学区,(78.195;76.03;91.645;82.75);36153.6;55511.39;10081.48;5;1020.79;5,(81.405;76.03;94.855;82.75);36153.6;55511.39;10081.48;5;1020.79;5,(81.63;76.11;94.91;82.75);35271.68;54133.03;9831.16;5;995.45;5,(77.625;75.53;92.05499;82.75);41673.84;63958.97;11615.66;5;1176.14;5,(77.625;75.53;92.05499;82.75);41673.84;63958.97;11615.66;5;1176.14;5
图书馆,(65.86;77.95;75.46001;82.75);18432;36899;5779.8;5;1600;5,(65.66;77.95;75.26;82.75);18432;36899;5779.8;5;1600;5,(65.66;77.95;75.26;82.75);18432;36899;5779.8;5;1600;5,(67.06499;75.92999;73.835;82.75);18468.56;36899;5779.8;5;1600;5,(65.655;75.92999;72.425;82.75);18468.56;36899;5779.8;5;1600;5
室内体育区,(78.2;68.755;89.68;75.145);29342.88;20558;10279;2,(78.2;68.755;89.68;75.145);29342.88;20558;10279;2,(81.405;63.225;87.815;74.675);29357.8;20558;10279;2,(78.92001;63.99;86.4;73.81);29381.44;20558;10279;2,(78.92001;63.99;86.4;73.81);29381.44;20558;10279;2
校级行政区,(65.86;83.245;68.86;88.075);5796;11590;2318;5,(65.66;83.245;68.66;88.075);5796;11590;2318;5,(65.66;83.245;68.66;88.075);5796;11590;2318;5,(65.66;83.245;68.66;88.075);5796;11590;2318;5,(65.66;83.245;68.66;88.075);5796;11590;2318;5
院系办公区,(65.655;68.75;69.685;76.03);11735.36;23446;4689.2;5,(65.655;68.75;69.685;76.03);11735.36;23446;4689.2;5,(65.66;70.545;70.92;76.11501);11719.28;23446;4689.2;5,(65.665;68.085;69.59499;75.535);11711.4;23446;4689.2;5,(65.665;68.085;69.59499;75.535);11711.4;23446;4689.2;5
学生活动区,(88.505;103.745;92.955;108.395);8277;5795;2897.5;2,(91.18501;90.40501;95.635;95.055);8277;5795;2897.5;2,(91.18501;90.40501;95.635;95.055);8277;5795;2897.5;2,(92.41;94.79501;95.63;101.225);8281.84;5795;2897.5;2,(92.41;90.595;95.63;97.02499);8281.84;5795;2897.5;2
会堂,(92.05;77.19;95.05;82.75);6672;4674;2337;2,(75.66;77.19;78.66;82.75);6672;4674;2337;2,(75.66;76.75;78.66;82.75);7200;4674;2337;2,(74.23;77.19;77.23;82.75);6672;4674;2337;2,(72.83;77.19;75.83;82.75);6672;4674;2337;2
学生宿舍区,(66.55;104.89;79.47;114.53);49819.52;72079.34;10144.5;5;4271.37;5,(66.55;104.89;79.47;114.53);49819.52;72079.34;10144.5;5;4271.37;5,(65.7;104.83;79.46;113.87);49756.16;71988.32;10131.69;5;4265.97;5,(65.66;101.63;75.84;113.85);49759.84;71992.22;10132.24;5;4266.21;5,(65.66;101.63;75.84;113.85);49759.84;71992.22;10132.24;5;4266.21;5
