Zones ,0,1,2,3,4
公共教学区,(51.04;90.64999;63.26;99.61);43796.48;54720;10944;5,(51.04;90.64;63.26;99.60001);43796.48;54720;10944;5,(51.04;90.64;63.26;99.60001);43796.48;54720;10944;5,(51.04;90.64;63.26;99.60001);43796.48;54720;10944;5,(51.08;90.62;63.26;99.6);43750.56;54720;10944;5
专业教学区,(65.665;55.695;73.43501;66.485);33535.32;42905.81;7792.17;5;788.99;5,(65.665;55.695;73.43501;66.485);33535.32;42905.81;7792.17;5;788.99;5,(65.665;55.695;73.43501;66.485);33535.32;42905.81;7792.17;5;788.99;5,(65.665;55.695;73.43501;66.485);33535.32;42905.81;7792.17;5;788.99;5,(65.665;55.7;72.715;65.54);27748.8;35514.37;6449.8;5;653.07;5
专业教学区,(73.365;107.63;84.055;119.27);49772.64;63680.19;11565.03;5;1171.01;5,(73.365;107.63;84.055;119.27);49772.64;63680.19;11565.03;5;1171.01;5,(73.365;107.63;84.055;119.27);49772.64;63680.19;11565.03;5;1171.01;5,(73.365;107.63;84.055;119.27);49772.64;63680.19;11565.03;5;1171.01;5,(73.02;104.535;86.08;115.165);55531.12;71071.63;12907.4;5;1306.93;5
图书馆,(56.625;100;63.255;106.96);18457.92;36899;5779.8;5;1600;5,(56.625;100;63.255;106.96);18457.92;36899;5779.8;5;1600;5,(56.625;100;63.255;106.96);18457.92;36899;5779.8;5;1600;5,(56.625;100;63.255;106.96);18457.92;36899;5779.8;5;1600;5,(56.625;100.005;63.255;106.955);18431.4;36899;5779.8;5;1600;5
室内体育区,(65.65501;85.195;73.165;96.925);35236.92;20558;10279;2,(65.65501;85.195;73.165;96.925);35236.92;20558;10279;2,(65.65501;85.195;73.165;96.925);35236.92;20558;10279;2,(65.65501;85.195;73.165;96.925);35236.92;20558;10279;2,(65.665;85.115;73.395;96.505);35217.88;20558;10279;2
校级行政区,(51.77;100.01;56.23;103.25);5780.16;11590;2318;5,(51.76;100;56.22;103.24);5780.16;11590;2318;5,(51.76;100;56.22;103.24);5780.16;11590;2318;5,(51.76;100;56.22;103.24);5780.16;11590;2318;5,(51.81;100;56.23;103.28);5799.04;11590;2318;5
院系办公区,(73.945;90.045;82.335;94.235);14061.64;23446;4689.2;5,(73.945;90.045;82.335;94.235);14061.64;23446;4689.2;5,(73.945;90.045;82.335;94.235);14061.64;23446;4689.2;5,(73.945;90.045;82.335;94.235);14061.64;23446;4689.2;5,(75.34;115.57;83.6;119.83);14075.04;23446;4689.2;5
学生活动区,(65.655;101.06;72.705;104.58);9926.4;5795;2897.5;2,(65.655;101.06;72.705;104.58);9926.4;5795;2897.5;2,(65.655;101.06;72.705;104.58);9926.4;5795;2897.5;2,(65.655;101.06;72.705;104.58);9926.4;5795;2897.5;2,(65.66;100.605;72.7;104.135);9940.48;5795;2897.5;2
会堂,(47.435;94.73499;50.645;99.945);6689.64;4674;2337;2,(47.435;94.73499;50.645;99.945);6689.64;4674;2337;2,(47.435;94.73499;50.645;99.945);6689.64;4674;2337;2,(47.435;94.73499;50.645;99.945);6689.64;4674;2337;2,(47.46;94.775;50.68;99.965);6684.72;4674;2337;2
学生宿舍区,(65.655;68.34499;78.925;84.195);84131.81;101449.81;14278.12;5;6011.84;5,(65.655;68.34499;78.925;84.195);84131.81;101449.81;14278.12;5;6011.84;5,(65.655;68.34499;78.925;84.195);84131.81;101449.81;14278.12;5;6011.84;5,(65.655;68.34499;78.925;84.195);84131.81;101449.81;14278.12;5;6011.84;5,(65.665;65.99001;78.835;84.11);95456.16;115123.42;16202.56;5;6822.13;5
学生宿舍区,(79.33;55.695;88.09;69.905);49791.84;60041.18;8450.24;5;3558;5,(79.33;55.695;88.09;69.905);49791.84;60041.18;8450.24;5;3558;5,(79.33;55.695;88.09;69.905);49791.84;60041.18;8450.24;5;3558;5,(79.33;55.695;88.09;69.905);49791.84;60041.18;8450.24;5;3558;5,(79.445;55.705;87.335;71.475);49770.12;60024.48;8447.89;5;3557.01;5
学生宿舍区,(79.33501;70.375;95.625;84.185);89985.97;108509.01;15271.64;5;6430.16;5,(79.33501;70.375;95.625;84.185);89985.97;108509.01;15271.64;5;6430.16;5,(79.33501;70.375;95.625;84.185);89985.97;108509.01;15271.64;5;6430.16;5,(79.33501;70.375;95.625;84.185);89985.97;108509.01;15271.64;5;6430.16;5,(79.445;71.89;95.535;84.11);78647.92;94852.1;13349.56;5;5620.87;5
食堂,(65.66;97.325;72.32;100.655);8871.12;5170.7;2585.35;2,(65.66;97.325;72.32;100.655);8871.12;5170.7;2585.35;2,(65.66;97.325;72.32;100.655);8871.12;5170.7;2585.35;2,(65.66;97.325;72.32;100.655);8871.12;5170.7;2585.35;2,(65.66;96.91;72.26;100.21);8712;5080.26;2540.13;2
食堂,(84.455;103.805;91.345;110.055);17225;10039.91;5019.95;2,(84.455;103.805;91.345;110.055);17225;10039.91;5019.95;2,(84.455;103.805;91.345;110.055);17225;10039.91;5019.95;2,(84.455;103.805;91.345;110.055);17225;10039.91;5019.95;2,(86.46999;99.75;94.71;106.25);21424;12493.06;6246.53;2
食堂,(73.565;85.18999;80.955;89.65);13183.76;7684.4;3842.2;2,(73.565;85.18999;80.955;89.65);13183.76;7684.4;3842.2;2,(73.565;85.18999;80.955;89.65);13183.76;7684.4;3842.2;2,(73.565;85.18999;80.955;89.65);13183.76;7684.4;3842.2;2,(81.365;85.11;88.115;88.49001);9126;5321.68;2660.84;2
教师公寓区,(82.72501;90.045;86.015;96.61501);8646.12;15200;1900;8,(82.72501;90.045;86.015;96.61501);8646.12;15200;1900;8,(82.72501;90.045;86.015;96.61501);8646.12;15200;1900;8,(82.72501;90.045;86.015;96.61501);8646.12;15200;1900;8,(84.825;88.88499;88.115;95.455);8646.12;15200;1900;8
后勤区,(65.66;104.99;72.96;113.85);25871.2;15105;7552.5;2,(65.66;104.99;72.96;113.85);25871.2;15105;7552.5;2,(65.66;104.99;72.96;113.85);25871.2;15105;7552.5;2,(65.66;104.99;72.96;113.85);25871.2;15105;7552.5;2,(65.665;104.535;72.615;113.845);25881.8;15105;7552.5;2
国际学生区,(73.82999;57.74;78.93;67.94);20808;26000;5200;5,(73.82999;57.74;78.93;67.94);20808;26000;5200;5,(73.82999;57.74;78.93;67.94);20808;26000;5200;5,(73.82999;57.74;78.93;67.94);20808;26000;5200;5,(73.79;55.705;79.05;65.595);20808.56;26000;5200;5
培训教育区,(52.66;78.67;62.66;83.67);20000;30000;2000;5;4000;5,(52.66;78.67;62.66;83.67);20000;30000;2000;5;4000;5,(52.66;78.67;62.66;83.67);20000;30000;2000;5;4000;5,(52.66;78.67;62.66;83.67);20000;30000;2000;5;4000;5,(52.66;78.675;62.52;83.745);19996.08;30000;2000;5;4000;5
学术交流区,(55.66;86.295;63.26;90.245);12008;30000;3000;10,(55.66;86.295;63.26;90.245);12008;30000;3000;10,(55.66;86.295;63.26;90.245);12008;30000;3000;10,(55.66;86.295;63.26;90.245);12008;30000;3000;10,(55.635;86.285;63.265;90.215);11994.36;30000;3000;10
产学融合区,(52.66;70.875;63.26;78.265);31333.6;62666.67;3777.78;6;3333.33;6;3333.33;6,(52.66;70.875;63.26;78.265);31333.6;62666.67;3777.78;6;3333.33;6;3333.33;6,(52.66;70.875;63.26;78.265);31333.6;62666.67;3777.78;6;3333.33;6;3333.33;6,(52.66;70.875;63.26;78.265);31333.6;62666.67;3777.78;6;3333.33;6;3333.33;6,(52.66;70.875;63.26;78.265);31333.6;62666.67;3777.78;6;3333.33;6;3333.33;6
