Districts ,0,1,2,3,4
公共教学,(28.725;53.62;37.055;57.78);13861.12;27750;5550;5,(33.175;37.99;41.505;42.15);13861.12;27750;5550;5,(31.965;35.54;40.295;39.7);13861.12;27750;5550;5,(28.725;53.62;37.055;57.78);13861.12;27750;5550;5,(33.985;36.14;42.315;40.3);13861.12;27750;5550;5
专业教学实训,(25.005;45.565;29.755;53.015);14155;28326.78;5208.02;5;457.34;5,(24.41;32.23;32.57;42.15);32378.88;64742.23;11903.18;5;1045.26;5,(24.44;31.57;31.36;39.69);22476.16;41572.5;7643.31;5;671.19;5,(25.005;45.565;29.755;53.015);14155;28326.78;5208.02;5;457.34;5,(24.965;32.54;30.975;39.84);17549.2;35086.38;6450.81;5;566.47;5
专业教学实训,(30.355;45.84;35.285;53.02);14158.96;28334.7;5209.48;5;457.46;5,(33.17;50.725;38.19;57.775);14156.4;28306.01;5204.2;5;457;5,(31.96;45.74;37.98;57.78);28992.32;53624.96;9859.22;5;865.77;5,(30.355;45.84;35.285;53.02);14158.96;28334.7;5209.48;5;457.46;5,(31.6;45.74;37.62;57.78);28992.32;57964.78;10657.12;5;935.84;5
专业教学实训,(25;32.48;33.12;42.44);32350.08;64738.51;11902.5;5;1045.2;5,(24.41;42.755;32.83;46.965);14179.28;28351.76;5212.61;5;457.74;5,(24.45;40.45;32.05;45.11);14166.4;26202.54;4817.47;5;423.04;5,(25;32.48;33.12;42.44);32350.08;64738.51;11902.5;5;1045.2;5,(24.96;40.905;33.38;45.115);14179.28;28348.85;5212.08;5;457.69;5
院系办公,(41.03;32.48;46.87;36.36);9063.68;18150;3630;5,(37.83;34.015;44.57;37.385);9085.52;18150;3630;5,(36.18;31.575;42.92;34.945);9085.52;18150;3630;5,(41.03;32.48;46.87;36.36);9063.68;18150;3630;5,(38.57;32.085;45.31;35.455);9085.52;18150;3630;5
图书馆,(29.535;26.75;35.285;31.75);11500;23000;3900;5;700;5,(25.32;26.745;31.2;31.635);11501.28;23000;3900;5;700;5,(25.315;26.75;32.125;30.97);11495.28;23000;3900;5;700;5,(29.535;26.75;35.285;31.75);11500;23000;3900;5;700;5,(25.315;27.785;32.245;31.935);11503.8;23000;3900;5;700;5
室内体育用房,(44.69;26.745;52.11;31.875);15225.84;10650;5325;2,(49.385;26.75;53.775;35.41);15206.96;10650;5325;2,(50.065;26.745;56.995;32.235);15218.28;10650;5325;2,(44.69;26.745;52.11;31.875);15225.84;10650;5325;2,(52.43;26.75;60.39;31.53);15219.52;10650;5325;2
活动及会堂,(33.725;41.015;40.235;44.965);10285.8;7200;3600;2,(33.425;43.095;40.595;46.685);10296.12;7200;3600;2,(32.645;40.305;37.995;45.115);10293.4;7200;3600;2,(33.725;41.015;40.235;44.965);10285.8;7200;3600;2,(33.975;41.525;41.145;45.115);10296.12;7200;3600;2
学生宿舍,(37.65;49.64;48.45;57.78);35164.8;70694.42;6976.42;8;2976.61;5,(46.085;46.48;57.235;57.78);50398;101348.27;10001.47;8;4267.3;5,(46.86;51.82;58.78;57.78);28417.28;57154.11;5640.21;8;2406.49;5,(37.65;49.64;48.45;57.78);35164.8;70694.42;6976.42;8;2976.61;5,(45.915;60.1;59.905;67.1);39172;78759.82;7772.35;8;3316.2;5
学生宿舍,(42.31;60.75;48.45;73.03);30159.68;60632.25;5983.45;8;2552.94;5,(24.415;47.56;29.805;57.78);22034.32;44310.1;4372.71;8;1865.69;5,(24.445;45.715;30.475;57.785);29112.84;58553.06;5778.26;8;2465.39;5,(42.31;60.75;48.45;73.03);30159.68;60632.25;5983.45;8;2552.94;5,(24.965;45.715;30.995;57.785);29112.84;58534.72;5776.45;8;2464.62;5
学生宿舍,(40.83;36.96;46.87;49.04);29185.28;58673.34;5790.13;8;2470.46;5,(40.235;47.28;45.485;57.78);22050;44341.63;4375.82;8;1867.02;5,(38.585;45.74;46.255;57.78);36938.72;74292.82;7331.53;8;3128.12;5,(40.83;36.96;46.87;49.04);29185.28;58673.34;5790.13;8;2470.46;5,(38.22;49.485;46.9;57.035);26213.6;52705.46;5201.2;8;2219.18;5
单身教师宿舍,(52.71;26.75;55.71;29.75);3600;6000;750;8,(45.79;32.9;48.79;35.9);3600;6000;750;8,(46.47;31.55;49.47;34.55);3600;6000;750;8,(52.71;26.75;55.71;29.75);3600;6000;750;8,(48.84;26.75;51.84;29.75);3600;6000;750;8
食堂,(33.725;36.96;40.235;40.42);9009.84;6307.11;3153.55;2,(37.835;26.745;45.305;32.295);16583.4;11598.74;5799.37;2,(41.77;26.75;48.47;30.95);11256;7878.36;3939.18;2,(33.725;36.96;40.235;40.42);9009.84;6307.11;3153.55;2,(42.905;26.755;48.235;30.945);8933.08;5942.87;2971.43;2
食堂,(35.89;26.75;40.43;35.83);16489.28;11542.89;5771.45;2,(33.165;26.745;36.515;33.415);8937.8;6251.26;3125.63;2,(32.73;26.75;41.17;30.97);14246.72;9971.64;4985.82;2,(35.89;26.75;40.43;35.83);16489.28;11542.89;5771.45;2,(32.85;26.755;42.31;31.485);17898.32;11907.13;5953.57;2
办公及服务,(25;53.88;28.12;57.78);4867.2;9750;1950;5,(33.17;34.02;37.23;37.02);4872;9750;1950;5,(31.96;31.575;35.58;34.945);4879.76;9750;1950;5,(25;53.88;28.12;57.78);4867.2;9750;1950;5,(32.25;32.54;37.61;35.54);6432;9750;1950;5
后勤,(49.045;61.58;54.375;72.24001);22727.12;15900;7950;2,(42.305;62.37;47.635;73.03);22727.12;15900;7950;2,(43.145;62.37;48.475;73.03);22727.12;15900;7950;2,(49.045;61.58;54.375;72.24001);22727.12;15900;7950;2,(42.91;67.705;53.57;73.035);22727.12;15900;7950;2
会堂,(49.05;53.495;52.05;57.785);5148;3600;1800;2,(41.195;43.68;45.485;46.68);5148;3600;1800;2,(38.6;40.855;41.6;45.145);5148;3600;1800;2,(49.05;53.495;52.05;57.785);5148;3600;1800;2,(42.31;59.775;45.31;64.06499);5148;3600;1800;2
留学生及外教生活用房,(41.03;26.745;44.09;31.875);6279.12;9425;1885;5,(42.095;37.985;45.185;43.075);6291.24;9425;1885;5,(41.775;35.54;45.865;39.38);6282.24;9425;1885;5,(41.03;26.745;44.09;31.875);6279.12;9425;1885;5,(42.915;45.05;47.005;48.89);6282.24;9425;1885;5
培训,(38.22;19.595;41.22;22.925);3996;6000;1200;5,(38.22;20.485;41.22;23.815);3996;6000;1200;5,(38.22;20.485;41.22;23.815);3996;6000;1200;5,(38.22;19.595;41.22;22.925);3996;6000;1200;5,(37.885;19.595;41.215;22.925);4435.56;6000;1200;5
